Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
C06948	Diazepam	C06948	4	Diazepam		3016	9163	HMDB14967	Organic Compounds	Aromatic Cyclic Compounds	Benzodiazepines	N/A
HC02194	ursodeoxycholate	C07880	4	Ursodiol	Steroids	31401	10082	HMDB00946	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
pheme	protoheme	C00032	5	Heme	Vitamins and Cofactors	444097	3334	HMDB03178	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Metallotetrapyrroles
ala_B	beta_alanine	C00099	7	beta-Alanine	Peptides	239	3399	HMDB00056	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Beta Amino Acids and Derivatives
thr_L	l_threonine	C00188	9	L-Threonine	Peptides	6288	3488	HMDB00167	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
etha	ethanolamine	C00189	10	Ethanolamine	Peptides	700	3489	HMDB00149	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	1,2-Aminoalcohols
bilirub	bilirubin	C00486	8	Bilirubin		5280352	3769	HMDB00054	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Bilirubins
ppp9	protoporphyrin	C02191	7	Protoporphyrin		4971	5261	HMDB00241	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
arachd	arachidonic acid	C00219	13	Arachidonate	Lipids	444899	3519	HMDB01043	Organic Compounds	Lipids	Fatty Acids and Conjugates	Unsaturated Fatty Acids
guln	l_gulonate	C00800	1	L-Gulonate		6857417	4058	HMDB03290	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
co2	co2	C00011	7	CO2		280	3313	HMDB01967	Organic Compounds	Aliphatic Acyclic Compounds	N/A	N/A
glygly	Glycyl-glycine	C02037	6	Glycylglycine		11163	5129	HMDB11733	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
glyleu	Glycylleucine	C02155	1	Glycyl-leucine		92843	5232	HMDB00759	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
4hbz	4_hydroxybenzoate	C00156	8	4-Hydroxybenzoate		135	3456	HMDB00500	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	Hydroxybenzoic Acid Derivatives
carn	l_carnosine	C00386	1	Carnosine	Peptides	439224	3676	HMDB00033	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptidomimetics	Hybrid Peptides
sql	squalene	C00751	1	Squalene		638072	4013	HMDB00256	Organic Compounds	Lipids	Prenol Lipids	Triterpenes
dlnlcg	dihomo_gamma_linolenic acid (n_6)	C03242	2	(8Z,11Z,14Z)-Icosatrienoic acid		5280581	6112	HMDB02925	Organic Compounds	Lipids	Fatty Acids and Conjugates	Unsaturated Fatty Acids
tmndnc	timnodonic acid c20:5, n_3	C06428	6	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid	Lipids	446284	8663	HMDB01999	Organic Compounds	Lipids	Fatty Acids and Conjugates	Unsaturated Fatty Acids
chsterol	cholesterol	C00187	13	Cholesterol	Steroids	5997	3487	HMDB00067	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
5HPET	5_hydroperoxy_6_trans_8,11,14_cis_eicosatetraenoate	C05356	1	5(S)-HPETE	Lipids	5280778	7733	HMDB01193	Organic Compounds	Lipids	Eicosanoids	Hydroperoxyeicosatetraenoic Acids
crvnc	cervonic acid, c22:6 n_3	C06429	5	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	Lipids	445580	8664	HMDB02183	Organic Compounds	Lipids	Fatty Acids and Conjugates	Unsaturated Fatty Acids
strdnc	stearidonic acid c18:4, n_3	C16300	1	Stearidonic acid		5312508	47205608	HMDB06547	Organic Compounds	Lipids	Lineolic Acids and Derivatives	N/A
xylt	xylitol	C00379	3	Xylitol	Carbohydrates	6912	3669	HMDB02917	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Alcohols	N/A
malttr	maltotriose	C01835	4	Maltotriose		439586	4954	HMDB01262	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Trisaccharides	Trihexoses
maltttr	Maltotetraose	C02052	1	Maltotetraose		439639	5141	HMDB01296	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Tetrasaccharides	Tetrahexoses
maltpt	maltopentaose	HMDB12254	1	Maltopentaose			13489094	HMDB12254	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Oligosaccharides	Hexose Oligosaccharides
CE2839	maltodecaose	HMDB12999	3	Maltodecaose		9288182	53481573	HMDB12999	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Polysaccharides	Polyhexoses
ap4a	p1,p4_bis(5_adenosyl) tetraphosphate	C01260	2	P1,P4-Bis(5'-adenosyl)tetraphosphate		21706	4479	HMDB01211	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
acac	acetoacetate	C00164	11	Acetoacetate	Organic acids	96	3464	HMDB00060	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Beta Keto-Acids and Derivatives
lpam	lipoamide	C00248	3	Lipoamide		863	3547	HMDB00962	Organic Compounds	Others	Dithiolanes	Lipoamides
estrone	estrone	C00468	8	Estrone	Steroids!Hormones and transmitters	5870	3751	HMDB00145	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
andrstandn	androstanedione	C00674	1	5alpha-Androstane-3,17-dione		222865	3943	HMDB00899	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
crtsl	cortisol	C00735	2	Cortisol	Steroids!Hormones and transmitters	5754	3998	HMDB00063	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
cortsn	cortisone	C00762	1	Cortisone	Steroids!Hormones and transmitters	222786	4024	HMDB02802	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
bhb	(r)_3_hydroxybutanoate	C01089	7	(R)-3-Hydroxybutanoate	Organic acids	92135	4324	HMDB00011	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Beta Hydroxy Acids and Derivatives
C02147	dihydrolipoate	C02147	5	Dihydrolipoate		421	5225	HMDB12210	Organic Compounds	Lipids	Fatty Acids and Conjugates	Thia Fatty Acids
HC02191	lithocholate	C03990	7	Lithocholic acid	Steroids	9903	6705	HMDB00761	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
ahandrostan	3alpha_hydroxy_5beta_androstan_17_one	C04373	2	Etiocholanolone	Steroids	5880	7015	HMDB00490	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
C04483	deoxycholate	C04483	32	Deoxycholic acid	Steroids	222528	7102	HMDB00626	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
estriol	estriol	C05141	3	Estriol	Steroids!Hormones and transmitters	5756	7560	HMDB00153	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
dgchol	chenodeoxyglycocholate	C05466	2	Glycochenodeoxycholate		12544	7826	HMDB00637	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
coumarin	coumarin	C05851	4	Coumarin		323	8144	HMDB01218	Organic Compounds	Aromatic Cyclic Compounds	Benzopyrans	Coumarins and Derivatives
pac	phenylacetic acid	C07086	8	Phenylacetic acid		999	9297	HMDB00209	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetic Acid Derivatives	N/A
eandrstrn	epiandrosterone	C07635	3	Epiandrosterone		441302	9837	HMDB00365	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
HC02193	glycolithocholate	C15557	1	Glycolithocholate		115245	17396549	HMDB00698	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
CE0737	malonic dialdehyde	C19440	3	Malonaldehyde		10964	124490112	HMDB06112	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Aldehydes
CE2209	5alpha-androstane-3alpha,17beta-diol	HMDB00554	1	Dihydroandrosterone			15818	HMDB00554	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
pydx	pyridoxal	C00250	11	Pyridoxal	Vitamins and Cofactors	1050	3549	HMDB01545	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridine Carboxaldehydes
pydxn	pyridoxine	C00314	3	Pyridoxine	Vitamins and Cofactors	1054	3608	HMDB00239	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridoxines
citr_L	l_citrulline	C00327	5	L-Citrulline	Peptides	9750	3621	HMDB00904	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
gudac	guanidinoacetate	C00581	4	Guanidinoacetate		763	3860	HMDB00128	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
arg_D	d_arginine	C00792	2	D-Arginine	Peptides	71070	4050	HMDB03416	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
crm_hs	ceramide (homo sapiens)	C00195	6	N-Acylsphingosine			3495	HMDB04947	Organic Compounds	Lipids	Sphingolipids	Ceramides
sphmyln_hs	sphingomyelin (homo sapiens)	C00550	9	Sphingomyelin	Lipids		3831	HMDB01348	Organic Compounds	Lipids	Sphingolipids	Sphingomyelins
galside_hs	galactocerebroside (homo sapiens)	C02686	1	Galactosylceramide	Lipids		5655	HMDB10708	Organic Compounds	Lipids	Sphingolipids	Neutral Glycosphingolipids
sphings	sphingosine	C00319	7	Sphingosine		5280335	3613	HMDB00252	Organic Compounds	Lipids	Sphingolipids	N/A
pglyc_hs	phosphatidylglycerol (homo sapiens)	C00344	7	Phosphatidylglycerol	Lipids		3637	NA		Others		
pa_hs	phosphatidic acid (homo sapiens)	C00416	15	Phosphatidate	Lipids		3706	HMDB00674	Organic Compounds	Lipids	Glycerophospholipids	Glycerophosphates
hxdcal	hexadecanal	C00517	1	Hexadecanal		984	3800	HMDB01551	Organic Compounds	Lipids	Fatty Aldehydes	N/A
alpa_hs	lysophosphatidic acid (homo sapiens)	C00681	9	1-Acyl-sn-glycerol 3-phosphate			3950	NA		Others		
sphgn	sphinganine	C00836	4	Sphinganine		91486	4094	HMDB00269	Organic Compounds	Lipids	Sphingolipids	N/A
asp_D	d_aspartate	C00402	4	D-Aspartate	Peptides	83887	3692	HMDB06483	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
cbasp	n_carbamoyl_l_aspartate	C00438	1	N-Carbamoyl-L-aspartate		93072	3727	HMDB00828	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
dctp	dctp	C00458	16	dCTP	Nucleic acids	65091	3742	HMDB00998	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
Nacasp	n_acetyl_l_aspartate	C01042	3	N-Acetyl-L-aspartate		65065	4284	HMDB00812	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
pro_L	l_proline	C00148	8	L-Proline	Peptides	145742	3448	HMDB00162	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
udpgal	udpgalactose	C00052	13	UDP-alpha-D-galactose		23724458	3354	HMDB00302	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
gm2_hs	ganglioside gm2 (homo sapiens)	C04884	2	N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	Lipids		7436	HMDB04936	Organic Compounds	Lipids	Sphingolipids	Neutral Glycosphingolipids
gchola	glycocholate	C01921	2	Glycocholate	Steroids	10140	5027	HMDB00138	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
btamp	biotinyl_5_amp	C05921	1	Biotinyl-5'-AMP		5326875	8209	HMDB04220	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
caro	beta_carotene	C02094	1	beta-Carotene		5280489	5178	HMDB00561	Organic Compounds	Lipids	Prenol Lipids	Tetraterpenes
CE1617	9-cis-retinoate	C15493	2	9-cis-Retinoic acid		449171	17396485	HMDB02369	Organic Compounds	Lipids	Prenol Lipids	Retinoids
retinal_cis_9	cis_9_retinal	C16681	1	9-cis-Retinal		6436082	51091004	HMDB06218	Organic Compounds	Lipids	Prenol Lipids	Retinoids
retinal_cis_13	cis_13_retinal	HMDB06220	1	13-cis-Retinal			6436079	HMDB06220	Organic Compounds	Lipids	Prenol Lipids	Retinoids
gal	d_galactose	C00124	10	D-Galactose	Carbohydrates	6036	3424	NA		Others		
inost	myo_inositol	C00137	10	myo-Inositol	Carbohydrates	892	3437	HMDB00211	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
xyl_D	d_xylose	C00181	5	D-Xylose	Carbohydrates	135191	3481	HMDB00098	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
glcn	D-gluconate	C00257	1	D-Gluconic acid	Carbohydrates	10690	3556	HMDB00625	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
arab_L	l_arabinose	C00259	5	L-Arabinose	Carbohydrates	439195	3558	HMDB00646	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
2obut	2_oxobutanoate	C00109	13	2-Oxobutanoate	Organic acids	58	3409	HMDB00005	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Short-chain Keto Acids and Derivatives
2hb	2_hydroxybutyrate	C05984	4	2-Hydroxybutanoic acid		440864	8262	HMDB00008	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Short-chain Hydroxy Acids and Derivatives
sarcs	sarcosine	C00213	2	Sarcosine		1088	3513	HMDB00271	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
betald	betaine aldehyde	C00576	4	Betaine aldehyde		249	3855	HMDB01252	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	Quaternary Ammonium Salts
pacald	phenylacetaldehyde	C00601	3	Phenylacetaldehyde		998	3876	HMDB06236	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetaldehydes	N/A
dmgly	n,n_dimethylglycine	C01026	3	N,N-Dimethylglycine		673	4271	HMDB00092	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ach	acetylcholine	C01996	6	Acetylcholine	Hormones and transmitters	187	5093	HMDB00895	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Cholines
C04308	Phosphatidyl-N-dimethylethanolamine	C04308	4	Phosphatidyl-N-dimethylethanolamine			6966	HMDB32231	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	N/A
Lcystin	l_cystine	C00491	2	L-Cystine		67678	3774	HMDB00192	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
biliverd	biliverdin	C00500	4	Biliverdin		5280353	3783	HMDB01008	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	N/A
mi14p	1d_myo_inositol 1,4_bisphosphate	C01220	2	1D-myo-Inositol 1,4-bisphosphate		439444	4442	HMDB00968	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
btn	biotin	C00120	1	Biotin	Vitamins and Cofactors	171548	3420	HMDB00030	Organic Compounds	Others	Thienoimidazolidines	Biotin and Derivatives
cala	n_carbamoyl_beta_alanine	C02642	2	3-Ureidopropionate		111	5621	HMDB00026	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	1,3-Aminoalcohols
3uib	3_ureidoisobutyrate	C05100	1	3-Ureidoisobutyrate		160663	7529	HMDB02031	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	1,3-Aminoalcohols
xol25oh	25_hydroxycholesterol	C15519	3	25-Hydroxycholesterol		65094	17396511	HMDB06247	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
occoa	octanoyl_coa (n_c8:0coa)	C01944	8	Octanoyl-CoA		445344	5048	HMDB01070	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
omeprazole	omeprazole	C07324	6	Omeprazole		4594	9532	HMDB01913	Organic Compounds	Aromatic Cyclic Compounds	Benzimidazoles	Sulfinylbenzimidazoles
oh1	hydroxide ion	C01328	2	HO-		961	4539	HMDB01039	Inorganic Compounds	Others	Other Non-metal Organides	Other Non-metal Oxides
ocdca	octadecanoate (n_c18:0)	C01530	5	Octadecanoic acid	Lipids	5281	4692	HMDB00827	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
cbl1	cob(i)alamin	C00853	1	Cob(I)alamin		46173708	4110	HMDB03429	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Metallotetrapyrroles
dttp	dttp	C00459	27	dTTP	Nucleic acids	64968	3743	HMDB01342	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
cdpdag_hs	cdp diacylglycerol (homo sapiens)	C00269	2	CDP-diacylglycerol			3567	NA		Others		
pe_hs	phosphatidylethanolamine (homo sapiens)	C00350	13	Phosphatidylethanolamine	Lipids		3643	HMDB05779	Organic Compounds	Lipids	Glycerophospholipids	Glycerophosphoethanolamines
1a25dhvitd3	1_alpha,25_dihydroxyvitamin d3	C01673	1	Calcitriol	Hormones and transmitters	5280453	4817	HMDB01903	Organic Compounds	Lipids	Prenol Lipids	Sesterterpenes
HC01842	Phosphodimethylethanolamine	C13482	3	Phosphodimethylethanolamine		151438	586220	NA		Others		
hista	histamine	C00388	4	Histamine	Peptides!Hormones and transmitters	774	3678	HMDB00870	Organic Compounds	Aromatic Cyclic Compounds	Azoles	Imidazoles
chtn	chitin	C00461	2	Chitin			3745	HMDB03362	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Trisaccharides	Trihexoses
C07535	Benzpyrene	C07535	1	Benzo[a]pyrene		2336	9738	NA		Others		
val_L	l_valine	C00183	12	L-Valine	Peptides	6287	3483	HMDB00883	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ile_L	l_isoleucine	C00407	6	L-Isoleucine	Peptides	6306	3697	HMDB00172	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
coke	cocaine	C01416	1	Cocaine		446220	4603	HMDB15043	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	N/A
xol24oh	24_hydroxycholesterol	C13550	2	Cerebrosterol		121948	7846926	HMDB01419	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
CE4877	15-deoxy-prostaglandin J2	C14717	4	15-Deoxy-delta-12,14-PGJ2		5311211	17395716	HMDB05079	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
C14770	11,12-EET	C14770	1	11,12-EET		5283204	17395768	HMDB04673	Organic Compounds	Lipids	Eicosanoids	Hepoxilins
xol27oh	27_hydroxycholesterol	C15610	1	Cholest-5-ene-3beta,26-diol		99470	17396601	NA		Others		
ribflv	riboflavin	C00255	3	Riboflavin	Vitamins and Cofactors	493570	3554	HMDB00244	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Alloxazines and Isoalloxazines
cpppg3	coproporphyrinogen iii	C03263	2	Coproporphyrinogen III		321	6127	HMDB01261	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
cpppg1	Coproporphyrinogen I	C05768	3	Coproporphyrinogen I		440776	8063	HMDB02158	Organic Compounds	Aromatic Cyclic Compounds	Tetrapyrroles and Derivatives	Porphyrins
acrn	o_acetylcarnitine	C02571	1	O-Acetylcarnitine		439756	5567	HMDB00201	Organic Compounds	Lipids	Fatty Acid Esters	Acyl Carnitines
orot5p	orotidine 5_phosphate	C01103	4	Orotidine 5'-phosphate		160617	4337	HMDB00218	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
tsul	thiosulfate	C00320	4	Thiosulfate		439208	3614	HMDB00257	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Thiosulfates
HC00955	L-3-Cyanoalanine	C02512	1	3-Cyano-L-alanine		439742	5522	HMDB60245	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Amino Acids, Peptides, and Analogues
CE1310	N-acetyl-L-cysteine	C06809	7	Acetylcysteine		12035	9028	HMDB01890	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
rib_D	d_ribose	C00121	6	D-Ribose	Carbohydrates	5779	3421	HMDB00283	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
dtmp	dtmp	C00364	6	dTMP	Nucleic acids	9700	3655	HMDB01227	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
dutp	dutp	C00460	9	dUTP	Nucleic acids	65070	3744	HMDB01191	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
duri	deoxyuridine	C00526	5	Deoxyuridine	Nucleic acids	13712	3809	HMDB00012	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleosides and Analogues	Pyrimidine 2'-deoxyribonucleosides and Analogues
dadp	dadp	C00206	7	dADP	Nucleic acids	188966	3506	HMDB01508	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
dcdp	dcdp	C00705	7	dCDP	Nucleic acids	150855	3972	HMDB01245	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
5aop	5_amino_4_oxopentanoate	C00430	1	5-Aminolevulinate		137	3719	HMDB01149	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Delta Amino Acids and Derivatives
3aib_D	d_3_amino_isobutanoate	C01205	1	(R)-3-Amino-2-methylpropanoate		5459822	4429	HMDB02299	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Beta Amino Acids and Derivatives
dag_hs	diacylglycerol (homo sapiens)	C00165	2	Diacylglycerol			3465	HMDB07098	Organic Compounds	Lipids	Glycerolipids	Diacylglycerols
C13856	2-Arachidonoylglycerol	C13856	2	2-Arachidonoylglycerol		5282280	854101	HMDB04666	Organic Compounds	Lipids	Fatty Amides	Endocannabinoids
sucsal	succinic semialdehyde	C00232	5	Succinate semialdehyde	Organic acids	1112	3531	HMDB01259	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
crtn	creatinine	C00791	1	Creatinine		588	4049	HMDB00562	Organic Compounds	Others	Lactams	N/A
dpcoa	dephospho_coa	C00882	5	Dephospho-CoA		444485	4138	HMDB01373	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
1pipdn2c	delta1_piperideine_2_carboxylate	C04092	1	delta1-Piperideine-2-carboxylate		1194	6784	HMDB01084	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
dump	dump	C00365	6	dUMP	Nucleic acids	65063	3656	HMDB01409	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
dcyt	deoxycytidine	C00881	3	Deoxycytidine	Nucleic acids	13711	4137	HMDB00014	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleosides and Analogues	Pyrimidine 2'-deoxyribonucleosides and Analogues
dudp	dudp	C01346	6	dUDP	Nucleic acids	145729	4551	HMDB01000	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
ddcacoa	dodecanoyl_coa (n_c12:0coa)	C01832	5	Lauroyl-CoA		165436	4951	HMDB03571	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
ocdcya	octadecadienoate (n_c18:2)	C04056	1	9-cis,11-trans-Octadecadienoate		5280644	6756	HMDB03797	Organic Compounds	Lipids	Lineolic Acids and Derivatives	N/A
ditp	ditp	C01345	3	dITP		146302	4550	HMDB03537	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
dimp	dimp	C06196	1	2'-Deoxyinosine 5'-phosphate		91531	8446	HMDB06555	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
glyc3p	glycerol 3_phosphate	C00093	7	sn-Glycerol 3-phosphate		439162	3393	HMDB00126	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Monosaccharide Phosphates
7dhchsterol	7_dehydrocholesterol	C01164	1	7-Dehydrocholesterol	Steroids	439423	4391	HMDB00032	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Cholesterols and Derivatives
thf	5,6,7,8_tetrahydrofolate	C00101	7	Tetrahydrofolate	Vitamins and Cofactors	91443	3401	HMDB01846	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
dhf	7,8_dihydrofolate	C00415	6	Dihydrofolate		98792	3705	HMDB01056	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
5mthf	5_methyltetrahydrofolate	C00440	4	5-Methyltetrahydrofolate		9825434	3729	HMDB01396	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
dhor_S	(s)_dihydroorotate	C00337	2	(S)-Dihydroorotate		439216	3630	HMDB00528	Organic Compounds	Others	Diazines	Pyrimidines and Pyrimidine Derivatives
ipdp	isopentenyl diphosphate	C00129	4	Isopentenyl diphosphate		1195	3429	HMDB01347	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Pyrophosphates
udpg	udpglucose	C00029	20	UDP-glucose	Vitamins and Cofactors	8629	3331	HMDB00286	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
thmpp	thiamine diphosphate	C00068	3	Thiamin diphosphate	Vitamins and Cofactors	1132	3368	HMDB01372	Organic Compounds	Aromatic Cyclic Compounds	Thiamines	Thiamine Phosphates
gdpmann	gdp_d_mannose	C00096	9	GDP-mannose		18396	3396	HMDB01163	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Nucleotide Sugars
